LTI,Observation.related.to,Type.of.Activity,Observation.Category,Reason.for.Deviation,Day,Month,Primary.Cause,Working.Condition,Machine.Condition,Observation.Type,Safety.Standards,Incident.Type,SOP.Combined,Topic,Injury_risk,Injury Type
Steel Manufacturing,Contractor,Others,PPE,Procedure Not Adequate,Wed,August,Slip/Trip/Fall,Single Working,M/C Idle,Unsafe Act,Tools & Equipment,Process,SAF,Topic 7,Low,LTI
Raw Materials,Contractor,Operations,Uneasiness,Procedure Not Followed,Thu,September,Dashing/Collision,Group Working,Not Applicable,Unsafe Act,Material Handling,Behaviour,SANF,Topic 1,Medium,Medical case
Engineering & Project,Contractor,Construction,Others,Procedure Not Followed,Thu,September,Dashing/Collision,Not Applicable,Not Applicable,Unsafe Act,Road Safety,Behaviour,SNNR,Topic 5,High,First Aid
Raw Materials,Employee,Others,Not Understood,Procedure Not Existing,Wed,October,Road Incident,Group Working,M/C Working,Unsafe Act,Mines Safety,Behaviour,SANF,Topic 8,Medium,Medical case
Engineering & Project,Contractor,Construction,PPE,Procedure Not Followed,Fri,February,Road Incident,Group Working,Not Applicable,Unsafe Act,Material Handling,Behaviour,SNR,Topic 1,Low,First Aid
Engineering & Project,Contractor,Construction,PPE,Procedure Not Followed,Fri,February,Material Handling,Group Working,Not Applicable,Unsafe Act,Material Handling,Behaviour,SNR,Topic 1,Low,First Aid
Steel Manufacturing,Employee,Others,Orderliness,Procedure Not Followed,Tue,February,Energy Isolation,Single Working,Not Applicable,Unsafe Act,Orderliness,Process,SANF,Topic 6,Low,First Aid
Shared Services,Employee,Operations,Others,Procedure Not Adequate,Tue,February,Material Handling,Group Working,M/C Idle,Unsafe Condition,Workplace Safety,Behaviour,SAF,Topic 6,Low,First Aid
Shared Services,Employee,Others,Uneasiness,Procedure Not Followed,Sun,February,Slip/Trip/Fall,Not Applicable,Not Applicable,Unsafe Act & Unsafe Condition,PPE,Behaviour,SNNR,Topic 3,Low,Medical case
Shared Services,Employee,Maintenance,Orderliness,Procedure Not Followed,Thu,February,Slip/Trip/Fall,Group Working,Not Applicable,Unsafe Act & Unsafe Condition,"Others,Process Safety",Process,SINF,Topic 6,Low,First Aid
Shared Services,Employee,Maintenance,Uneasiness,Procedure Not Followed,Wed,March,Process Incidents,Single Working,M/C Working,Unsafe Act,Excavation,Behaviour,SANF,Topic 9,Low,First Aid
Engineering & Project,Contractor,Others,Barricading,Procedure Not Followed,Mon,March,Skidding,Single Working,M/C Idle,Unsafe Act by Other,Workplace Safety,Behaviour,SANF,Topic 1,Low,First Aid
Engineering & Project,Contractor,Others,Uneasiness,Procedure Not Adequate,Sat,March,Material Handling,Group Working,M/C Working,Unsafe Act,Tools & Equipment,Behaviour,SINF,Topic 8,High,First Aid
Engineering & Project,Contractor,Construction,Not Understood,Procedure Not Followed,Sat,March,Material Handling,Group Working,Not Applicable,Unsafe Condition,Workplace Safety,Behaviour,SIF,Topic 6,Low,First Aid
Shared Services,Employee,Others,Electrical Safety,Procedure Not Adequate,Wed,May,Material Handling,Group Working,Not Applicable,Unsafe Condition,Others,Behaviour,SNNR,Topic 1,Low,First Aid
Shared Services,Employee,Others,Confine Space,Procedure Not Existing,Mon,May,Toxic Chemicals,Single Working,M/C Working,Unsafe Act,Road Safety,Behaviour,SAF,Topic 3,High,LTI
Shared Services,Contractor,Maintenance,Falling,Procedure Not Adequate,Thu,May,Slip/Trip/Fall,Group Working,Not Applicable,Unsafe Act & Unsafe Condition,Orderliness,Behaviour,SIF,Topic 7,Low,First Aid
Shared Services,Employee,Maintenance,Not Maintained,Procedure Not Followed,Tue,May,Skidding,Group Working,M/C Idle,Unsafe Act,Excavation,Process,SINF,Topic 6,Low,Medical case
Shared Services,Employee,Others,Not Followed,Procedure Not Followed,Sat,May,Slip/Trip/Fall,Single Working,M/C Working,Unsafe Condition,Process Safety,Behaviour,SANF,Topic 6,Low,First Aid
Engineering & Project,Employee,Others,Others,Procedure Not Followed,Tue,June,Skidding,Not Applicable,Not Applicable,Unsafe Condition,Road Safety,Behaviour,SNNR,Topic 3,Low,Medical case
Shared Services,Employee,Maintenance,Road Safety,Procedure Not Followed,Sun,June,Slip/Trip/Fall,Single Working,M/C Working,Unsafe Act,PPE,Behaviour,SAF,Topic 3,Low,Medical case
Shared Services,Contractor,Maintenance,Others,Procedure Not Adequate,Wed,June,Dashing/Collision,Group Working,Not Applicable,Unsafe Act,Workplace Safety,Process,SIF,Topic 6,Medium,Medical case
Shared Services,Contractor,...,Environment,Procedure Not Followed,Sun,June,Slip/Trip/Fall,Group Working,M/C Idle,Unsafe Act,PPE,Behaviour,SIF,Topic 7,Low,First Aid
Engineering & Project,Employee,Others,Not Maintained,Procedure Not Followed,Fri,June,Road Incident,Single Working,M/C Idle,Unsafe Condition,Others,Behaviour,SAF,Topic 4,Low,First Aid
Shared Services,Employee,Maintenance,Not Maintained,Procedure Not Existing,Wed,June,Slip/Trip/Fall,Group Working,M/C Idle,Unsafe Act,"Others,Process Safety",Behaviour,SANF,Topic 4,Low,LTI
Engineering & Project,Contractor,Construction,Others,Procedure Not Followed,Sat,June,Road Incident,Group Working,M/C Idle,Unsafe Act,Others,Process,SIF,Topic 8,Low,First Aid
Corporate Services,Employee,Others,Not Followed,Procedure Not Followed,Mon,July,Road Incident,Single Working,M/C Working,Unsafe Act,"Others,Process Safety",Behaviour,SANF,Topic 3,Medium,Medical case
Steel Manufacturing,Employee,Operations,Not Maintained,Procedure Not Followed,Thu,July,Material Handling,Group Working,M/C Idle,Unsafe Act & Unsafe Condition,Barricading,Behaviour,SAF,Topic 7,Low,First Aid
Shared Services,Employee,Maintenance,Falling,Procedure Not Followed,Sat,July,Material Handling,Single Working,Not Applicable,Unsafe Act by Other,Barricading,Behaviour,SNNR,Topic 3,Low,Medical case
Shared Services,Employee,...,Environment,Procedure Not Followed,Fri,July,Process Incidents,Group Working,M/C Idle,Unsafe Act,Others,Process,SINF,Topic 7,High,First Aid
Shared Services,Employee,Maintenance,Barricading,Procedure Not Followed,Mon,August,Process Incidents,Group Working,M/C Working,Unsafe Act,Tools & Equipment,Behaviour,SANF,Topic 1,Low,First Aid
Shared Services,Employee,Maintenance,Not Maintained,Procedure Not Followed,Thu,August,Slip/Trip/Fall,Single Working,M/C Idle,Unsafe Act,Others,Behaviour,SANF,Topic 9,Low,First Aid
Steel Manufacturing,Employee,Others,Workplace Safety,Procedure Not Followed,Sat,August,Slip/Trip/Fall,Group Working,M/C Idle,Unsafe Act by Other,Tools & Equipment,Behaviour,SIF,Topic 7,Low,First Aid
Shared Services,Contractor,Others,Not Followed,Procedure Not Adequate,Thu,August,Slip/Trip/Fall,Single Working,Not Applicable,Unsafe Condition,Process Safety,Behaviour,SANF,Topic 2,Low,Medical case
Others,Employee,Maintenance,Not Maintained,Procedure Not Existing,Fri,August,Hydraulic/Pneumatic,Not Applicable,Not Applicable,Unsafe Act by Other,Road Safety,Behaviour,SNNR,Topic 3,Medium,Medical case
Engineering & Project,Employee,Construction,Gas Safety,Procedure Not Followed,Tue,August,Road Incident,Group Working,Not Applicable,Unsafe Condition,Process Safety,Behaviour,SANF,Topic 9,Low,First Aid
Shared Services,Employee,Others,Barricading,Procedure Not Adequate,Mon,August,Hydraulic/Pneumatic,Group Working,Not Applicable,Unsafe Condition,Mines Safety,Behaviour,SNNR,Topic 4,Low,Medical case
Shared Services,Employee,Maintenance,Handrail,Procedure Not Adequate,Mon,August,Process Incidents,Single Working,M/C Idle,Unsafe Condition,Barricading,Behaviour,SNNR,Topic 2,Low,First Aid
Others,Employee,Operations,Not Understood,Procedure Not Existing,Fri,August,Process Incidents,Not Applicable,Not Applicable,Unsafe Act,Road Safety,Behaviour,SNNR,Topic 3,Medium,Medical case
Engineering & Project,Contractor,Others,Not Followed,Procedure Not Followed,Fri,September,Process Incidents,Not Applicable,Not Applicable,Unsafe Act,Others,Behaviour,SNNR,Topic 9,Medium,First Aid
Shared Services,Employee,Maintenance,Orderliness,Procedure Not Followed,Fri,September,Process Incidents,Single Working,Not Applicable,Unsafe Act,Orderliness,Behaviour,SNR,Topic 3,Low,Medical case
Shared Services,Employee,Maintenance,Road Safety,Procedure Not Adequate,Sat,September,Skidding,Group Working,M/C Working,Unsafe Act & Unsafe Condition,Excavation,Behaviour,SANF,Topic 4,Low,Medical case
Shared Services,Employee,Others,Orderliness,Procedure Not Followed,Fri,September,Slip/Trip/Fall,Not Applicable,Not Applicable,Unsafe Condition,Road Safety,Behaviour,SNNR,Topic 3,Low,Medical case
Shared Services,Employee,Maintenance,Not Maintained,Procedure Not Existing,Thu,September,Dashing/Collision,Single Working,Not Applicable,Unsafe Act by Other,"Others,Process Safety",Behaviour,SNNR,Topic 5,Medium,Medical case
Raw Materials,Employee,Others,PPE,Procedure Not Followed,Wed,September,Material Handling,Group Working,Not Applicable,Unsafe Act,Workplace Safety,Behaviour,SIF,Topic 4,Medium,Medical case
Engineering & Project,Employee,Operations,Handrail,Procedure Not Followed,Mon,September,Road Incident,Single Working,M/C Idle,Unsafe Act & Unsafe Condition,Road Safety,Behaviour,SANF,Topic 3,Low,First Aid
Engineering & Project,Contractor,Others,Handrail,Procedure Not Followed,Sat,September,Dashing/Collision,Group Working,M/C Working,Unsafe Condition,Excavation,Behaviour,SNR,Topic 1,Low,LTI
Shared Services,Contractor,Others,Material Handling,Procedure Not Followed,Fri,October,Dashing/Collision,Single Working,M/C Idle,Unsafe Act,Gas Cutting & Welding,Process,SINF,Topic 6,Low,LTI
Raw Materials,Contractor,Operations,Falling,Procedure Not Existing,Tue,October,Structural Integrity,Single Working,M/C Working,Unsafe Act,Process Safety,Behaviour,SINF,Topic 7,Low,Medical case
Engineering & Project,Contractor,Others,Barricading,Procedure Not Followed,Mon,October,Structural Integrity,Not Applicable,Not Applicable,Unsafe Act,Others,Behaviour,SNNR,Topic 5,Low,Medical case
Engineering & Project,Employee,Others,Orderliness,Procedure Not Followed,Sat,October,Material Handling,Not Applicable,Not Applicable,Unsafe Act by Other,Road Safety,Behaviour,SNNR,Topic 3,Medium,Medical case
Shared Services,Employee,Maintenance,Others,Procedure Not Existing,Wed,October,Slip/Trip/Fall,Not Applicable,M/C Working,Unsafe Condition,Tools & Equipment,Behaviour,SAF,Topic 9,Low,Medical case
Engineering & Project,Contractor,Construction,PPE,Procedure Not Adequate,Mon,October,Road Incident,Group Working,M/C Idle,Unsafe Act,Material Handling,Behaviour,SIF,Topic 9,Medium,Medical case
Engineering & Project,Contractor,Construction,Health,Procedure Not Followed,Wed,November,Hydraulic/Pneumatic,Group Working,M/C Idle,Unsafe Act,Workplace Safety,Behaviour,SAF,Topic 1,Low,First Aid
Shared Services,Employee,Maintenance,Barricading,Procedure Not Followed,Fri,November,Material Handling,Not Applicable,Not Applicable,Unsafe Condition,Others,Behaviour,SNNR,Topic 3,Low,First Aid
Raw Materials,Employee,Maintenance,Material Handling,Procedure Not Existing,Wed,November,Structural Integrity,Group Working,M/C Idle,Unsafe Act,Orderliness,Behaviour,SINF,Topic 9,Medium,Medical case
Shared Services,Employee,Maintenance,Barricading,Procedure Not Followed,Sat,November,Dashing/Collision,Single Working,M/C Idle,Unsafe Act,Material Handling,Behaviour,SANF,Topic 4,Low,First Aid
Shared Services,Contractor,Others,Electrical Safety,Procedure Not Adequate,Sat,November,Road Incident,Group Working,M/C Idle,Unsafe Act & Unsafe Condition,Orderliness,Behaviour,SAF,Topic 4,High,First Aid
Engineering & Project,Contractor,Others,Gas Safety,Procedure Not Followed,Sat,December,Process Incidents,Single Working,M/C Idle,Unsafe Act,Confine Space,Behaviour,SNR,Topic 3,High,First Aid
Engineering & Project,Contractor,Construction,Eyes & Face,Procedure Not Adequate,Fri,December,Road Incident,Single Working,Not Applicable,Unsafe Condition,Barricading,Behaviour,SANF,Topic 7,Medium,LTI
Steel Manufacturing,Employee,Operations,Not Maintained,Procedure Not Followed,Sat,December,Dashing/Collision,Group Working,M/C Working,Unsafe Condition,Orderliness,Behaviour,SINF,Topic 4,Low,Medical case
Shared Services,Employee,Maintenance,Not Maintained,Procedure Not Followed,Tue,December,Road Incident,Group Working,M/C Idle,Unsafe Act,Orderliness,Behaviour,SANF,Topic 1,Low,First Aid
Engineering & Project,Contractor,Construction,Others,Procedure Not Followed,Sat,December,Road Incident,Group Working,M/C Working,Unsafe Condition,Workplace Safety,Behaviour,SANF,Topic 1,High,Medical case
Raw Materials,Employee,Others,Process Safety,Procedure Not Followed,Fri,February,Process Incidents,Not Applicable,Not Applicable,Unsafe Condition,Orderliness,Behaviour,SNNR,Topic 8,Low,First Aid
Raw Materials,Employee,Others,Process Safety,Procedure Not Followed,Fri,February,Slip/Trip/Fall,Not Applicable,Not Applicable,Unsafe Condition,Orderliness,Behaviour,SNNR,Topic 1,Low,First Aid
Shared Services,Employee,Maintenance,Health,Procedure Not Followed,Tue,February,Slip/Trip/Fall,Single Working,M/C Working,Unsafe Act,PPE,Behaviour,SANF,Topic 9,Low,First Aid
Raw Materials,Employee,Others,Mines Safety,Procedure Not Followed,Mon,February,Slip/Trip/Fall,Group Working,M/C Working,Unsafe Condition,Mines Safety,Behaviour,SANF,Topic 8,Low,First Aid
Raw Materials,Employee,Others,Mines Safety,Procedure Not Followed,Mon,February,Slip/Trip/Fall,Group Working,M/C Working,Unsafe Condition,Mines Safety,Behaviour,SANF,Topic 8,Low,First Aid
Shared Services,Employee,Others,Falling,Procedure Not Followed,Thu,February,Slip/Trip/Fall,Single Working,Not Applicable,Unsafe Act by Other,Workplace Safety,Behaviour,SNNR,Topic 3,High,Medical case
Raw Materials,Employee,Others,Electrical Safety,Procedure Not Adequate,Thu,March,Slip/Trip/Fall,Single Working,Not Applicable,Unsafe Act & Unsafe Condition,Others,Behaviour,SAF,Topic 4,Low,First Aid
Raw Materials,Employee,Others,Confine Space,Procedure Not Existing,Thu,March,Slip/Trip/Fall,Group Working,M/C Idle,Unsafe Act,Mines Safety,Behaviour,SAF,Topic 8,Low,First Aid
Raw Materials,Employee,Others,Electrical Safety,Procedure Not Existing,Thu,March,Slip/Trip/Fall,Single Working,Not Applicable,Unsafe Act & Unsafe Condition,Mines Safety,Behaviour,SANF,Topic 1,Low,First Aid
Raw Materials,Employee,Others,Barricading,Procedure Not Followed,Thu,March,Road Incident,Group Working,M/C Idle,Unsafe Act,Mines Safety,Behaviour,SAF,Topic 8,Low,First Aid
Raw Materials,Contractor,Operations,Mines Safety,Procedure Not Adequate,Wed,March,Material Handling,Group Working,Not Applicable,Unsafe Act,Mines Safety,Process,SINF,Topic 8,High,Medical case
Raw Materials,Contractor,Operations,Mines Safety,Procedure Not Adequate,Wed,March,Slip/Trip/Fall,Group Working,Not Applicable,Unsafe Act,Mines Safety,Process,SINF,Topic 8,High,Medical case
Raw Materials,Employee,Operations,Workplace Safety,Procedure Not Existing,Wed,March,Hydraulic/Pneumatic,Single Working,Not Applicable,Unsafe Condition,Confine Space,Behaviour,SNNR,Topic 8,Low,First Aid
Steel Manufacturing,Employee,Others,Electrical Safety,Procedure Not Followed,Wed,March,Slip/Trip/Fall,Single Working,M/C Working,Unsafe Act,Others,Behaviour,SANF,Topic 3,Medium,Medical case
Engineering & Project,Contractor,Construction,Health,Procedure Not Existing,Fri,March,Dashing/Collision,Group Working,Not Applicable,Unsafe Act by Other,Workplace Safety,Behaviour,SIF,Topic 9,Low,First Aid
Engineering & Project,Contractor,Construction,Health,Procedure Not Followed,Tue,March,Road Incident,Group Working,M/C Idle,Unsafe Act,Orderliness,Behaviour,SINF,Topic 7,Low,First Aid
Raw Materials,Employee,Maintenance,Environment,Procedure Not Existing,Sat,April,Road Incident,Single Working,Not Applicable,Unsafe Act,Process Safety,Behaviour,SNR,Topic 4,Low,First Aid
Raw Materials,Employee,Maintenance,Environment,Procedure Not Existing,Sat,April,Slip/Trip/Fall,Single Working,Not Applicable,Unsafe Act,Barricading,Behaviour,SIF,Topic 4,Low,First Aid
Raw Materials,Contractor,Maintenance,Not Followed,Procedure Not Followed,Fri,April,Slip/Trip/Fall,Group Working,M/C Working,Unsafe Condition,Others,Behaviour,SANF,Topic 6,Low,First Aid
Raw Materials,Contractor,Maintenance,Not Followed,Procedure Not Followed,Fri,April,Slip/Trip/Fall,Group Working,M/C Working,Unsafe Condition,Others,Behaviour,SANF,Topic 6,Low,First Aid
Engineering & Project,Contractor,Construction,Not Maintained,Procedure Not Followed,Wed,April,Slip/Trip/Fall,Single Working,M/C Idle,Unsafe Act & Unsafe Condition,Workplace Safety,Behaviour,SIF,Topic 1,Low,First Aid
Engineering & Project,Contractor,Construction,Barricading,Procedure Not Followed,Thu,April,Slip/Trip/Fall,Group Working,M/C Idle,Unsafe Condition,Workplace Safety,Behaviour,SIF,Topic 1,Medium,Medical case
Raw Materials,Employee,Operations,Mines Safety,Procedure Not Followed,Wed,April,Material Handling,Group Working,Not Applicable,Unsafe Act,Fire Safety,Behaviour,SANF,Topic 8,Low,First Aid
Raw Materials,Employee,Operations,Mines Safety,Procedure Not Existing,Wed,April,Material Handling,Group Working,Not Applicable,Unsafe Act,Fire Safety,Behaviour,SANF,Topic 8,Low,First Aid
Corporate Services,Employee,Others,Falling,Procedure Not Followed,Mon,April,Material Handling,Not Applicable,M/C Idle,Unsafe Act,PPE,Behaviour,SANF,Topic 3,Low,Medical case
Engineering & Project,Contractor,Construction,Health,Procedure Not Followed,Wed,April,Slip/Trip/Fall,Single Working,Not Applicable,Unsafe Act,PPE,Behaviour,SANF,Topic 7,Medium,Medical case
Corporate Services,Employee,Others,Material Handling,Procedure Not Followed,Sat,April,Slip/Trip/Fall,Single Working,M/C Working,Unsafe Condition,Fire Safety,Behaviour,SANF,Topic 1,Low,First Aid
Engineering & Project,Contractor,Others,Excavation,Procedure Not Followed,Tue,May,Slip/Trip/Fall,Group Working,M/C Working,Unsafe Act,Material Handling,Behaviour,SANF,Topic 2,High,Medical case
Engineering & Project,Contractor,Construction,Orderliness,Procedure Not Adequate,Sat,May,Road Incident,Not Applicable,Not Applicable,Unsafe Condition,Others,Behaviour,SIF,Topic 5,Medium,LTI
Engineering & Project,Contractor,Errection & Commissioning,Workplace Safety,Procedure Not Followed,Thu,May,Hydraulic/Pneumatic,Group Working,Not Applicable,Unsafe Act,Workplace Safety,Behaviour,SINF,Topic 9,High,First Aid
