Division,Observation.related.to,Day,Month,Primary.Cause,Working.Condition,Machine.Condition,Observation.Type,Safety.Standards,Incident.Type,SOP.Combined,Topic,Injury_risk,Injury Type
Shared Services,Contractor,Thu,May,Slip/Trip/Fall,Group Working,Not Applicable,Unsafe Act & Unsafe Condition,Orderliness,Behaviour,SIF,Topic 7,Low,First Aid
Shared Services,Employee,Tue,May,Skidding,Group Working,M/C Idle,Unsafe Act,Excavation,Process,SINF,Topic 6,Low,Medical case
Shared Services,Employee,Sat,May,Slip/Trip/Fall,Single Working,M/C Working,Unsafe Condition,Process Safety,Behaviour,SANF,Topic 6,Low,First Aid
Engineering & Project,Employee,Tue,June,Skidding,Not Applicable,Not Applicable,Unsafe Condition,Road Safety,Behaviour,SNNR,Topic 3,Low,Medical case
Shared Services,Employee,Sun,June,Slip/Trip/Fall,Single Working,M/C Working,Unsafe Act,PPE,Behaviour,SAF,Topic 3,Low,Medical case
Shared Services,Contractor,Wed,June,Dashing/Collision,Group Working,Not Applicable,Unsafe Act,Work Permit System,Process,SIF,Topic 6,Medium,Medical case
Shared Services,Contractor,Sun,June,Slip/Trip/Fall,Group Working,M/C Idle,Unsafe Act,PPE,Behaviour,SIF,Topic 7,Low,First Aid
Engineering & Project,Employee,Fri,June,Road Incident,Single Working,M/C Idle,Unsafe Condition,Others,Behaviour,SAF,Topic 4,Low,First Aid
Shared Services,Employee,Wed,June,Slip/Trip/Fall,Group Working,M/C Idle,Unsafe Act,"Positive Isolations,Process Safety",Behaviour,SANF,Topic 4,Low,LTI
Engineering & Project,Contractor,Sat,June,Road Incident,Group Working,M/C Idle,Unsafe Act,Others,Process,SIF,Topic 8,Low,First Aid
Corporate Services,Employee,Mon,July,Road Incident,Single Working,M/C Working,Unsafe Act,"Positive Isolations,Process Safety",Behaviour,SANF,Topic 3,Medium,Medical case
Steel Manufacturing,Employee,Thu,July,Material Handling,Group Working,M/C Idle,Unsafe Act & Unsafe Condition,Barricading,Behaviour,SAF,Topic 7,Low,First Aid
Shared Services,Employee,Sat,July,Material Handling,Single Working,Not Applicable,Unsafe Act by Other,Barricading,Behaviour,SNNR,Topic 3,Low,Medical case
Shared Services,Employee,Fri,July,Process Incidents,Group Working,M/C Idle,Unsafe Act,Others,Process,SINF,Topic 7,High,First Aid
Shared Services,Employee,Mon,August,Process Incidents,Group Working,M/C Working,Unsafe Act,Tools & Equipment,Behaviour,SANF,Topic 1,Low,First Aid
Shared Services,Employee,Thu,August,Slip/Trip/Fall,Single Working,M/C Idle,Unsafe Act,Others,Behaviour,SANF,Topic 9,Low,First Aid
Steel Manufacturing,Employee,Sat,August,Slip/Trip/Fall,Group Working,M/C Idle,Unsafe Act by Other,Tools & Equipment,Behaviour,SIF,Topic 7,Low,First Aid
Shared Services,Contractor,Thu,August,Slip/Trip/Fall,Single Working,Not Applicable,Unsafe Condition,Process Safety,Behaviour,SANF,Topic 2,Low,Medical case
Others,Employee,Fri,August,Hydraulic/Pneumatic,Not Applicable,Not Applicable,Unsafe Act by Other,Road Safety,Behaviour,SNNR,Topic 3,Medium,Medical case
Engineering & Project,Employee,Tue,August,Road Incident,Group Working,Not Applicable,Unsafe Condition,Process Safety,Behaviour,SANF,Topic 9,Low,First Aid
Shared Services,Employee,Mon,August,Hydraulic/Pneumatic,Group Working,Not Applicable,Unsafe Condition,Mines Safety,Behaviour,SNNR,Topic 4,Low,Medical case
Shared Services,Employee,Mon,August,Process Incidents,Single Working,M/C Idle,Unsafe Condition,Barricading,Behaviour,SNNR,Topic 2,Low,First Aid
Others,Employee,Fri,August,Process Incidents,Not Applicable,Not Applicable,Unsafe Act,Road Safety,Behaviour,SNNR,Topic 3,Medium,Medical case
Engineering & Project,Contractor,Fri,September,Process Incidents,Not Applicable,Not Applicable,Unsafe Act,Others,Behaviour,SNNR,Topic 9,Medium,First Aid
Shared Services,Employee,Fri,September,Process Incidents,Single Working,Not Applicable,Unsafe Act,Dismantling,Behaviour,SNR,Topic 3,Low,Medical case
Shared Services,Employee,Sat,September,Skidding,Group Working,M/C Working,Unsafe Act & Unsafe Condition,Excavation,Behaviour,SANF,Topic 4,Low,Medical case
Shared Services,Employee,Fri,September,Slip/Trip/Fall,Not Applicable,Not Applicable,Unsafe Condition,Road Safety,Behaviour,SNNR,Topic 3,Low,Medical case
Shared Services,Employee,Thu,September,Dashing/Collision,Single Working,Not Applicable,Unsafe Act by Other,"Positive Isolations,Process Safety",Behaviour,SNNR,Topic 5,Medium,Medical case
Raw Materials,Employee,Wed,September,Material Handling,Group Working,Not Applicable,Unsafe Act,Work Permit System,Behaviour,SIF,Topic 4,Medium,Medical case
Engineering & Project,Employee,Mon,September,Road Incident,Single Working,M/C Idle,Unsafe Act & Unsafe Condition,Road Safety,Behaviour,SANF,Topic 3,Low,First Aid
Engineering & Project,Contractor,Sat,September,Dashing/Collision,Group Working,M/C Working,Unsafe Condition,Excavation,Behaviour,SNR,Topic 1,Low,LTI
Shared Services,Contractor,Fri,October,Dashing/Collision,Single Working,M/C Idle,Unsafe Act,Gas Cutting & Welding,Process,SINF,Topic 6,Low,LTI
Raw Materials,Contractor,Tue,October,Structural Integrity,Single Working,M/C Working,Unsafe Act,Process Safety,Behaviour,SINF,Topic 7,Low,Medical case
Engineering & Project,Contractor,Mon,October,Structural Integrity,Not Applicable,Not Applicable,Unsafe Act,Others,Behaviour,SNNR,Topic 5,Low,Medical case
Engineering & Project,Employee,Sat,October,Material Handling,Not Applicable,Not Applicable,Unsafe Act by Other,Road Safety,Behaviour,SNNR,Topic 3,Medium,Medical case
Shared Services,Employee,Wed,October,Slip/Trip/Fall,Not Applicable,M/C Working,Unsafe Condition,Tools & Equipment,Behaviour,SAF,Topic 9,Low,Medical case
Engineering & Project,Contractor,Mon,October,Road Incident,Group Working,M/C Idle,Unsafe Act,Material Handling,Behaviour,SIF,Topic 9,Medium,Medical case
Engineering & Project,Contractor,Wed,November,Hydraulic/Pneumatic,Group Working,M/C Idle,Unsafe Act,Working at Height,Behaviour,SAF,Topic 1,Low,First Aid
Shared Services,Employee,Fri,November,Material Handling,Not Applicable,Not Applicable,Unsafe Condition,Others,Behaviour,SNNR,Topic 3,Low,First Aid
Raw Materials,Employee,Wed,November,Structural Integrity,Group Working,M/C Idle,Unsafe Act,Dismantling,Behaviour,SINF,Topic 9,Medium,Medical case
Shared Services,Employee,Sat,November,Dashing/Collision,Single Working,M/C Idle,Unsafe Act,Material Handling,Behaviour,SANF,Topic 4,Low,First Aid
Shared Services,Contractor,Sat,November,Road Incident,Group Working,M/C Idle,Unsafe Act & Unsafe Condition,Orderliness,Behaviour,SAF,Topic 4,High,First Aid
Engineering & Project,Contractor,Sat,December,Process Incidents,Single Working,M/C Idle,Unsafe Act,Confine Space,Behaviour,SNR,Topic 3,High,First Aid
Engineering & Project,Contractor,Fri,December,Road Incident,Single Working,Not Applicable,Unsafe Condition,Barricading,Behaviour,SANF,Topic 7,Medium,LTI
Steel Manufacturing,Employee,Sat,December,Dashing/Collision,Group Working,M/C Working,Unsafe Condition,Orderliness,Behaviour,SINF,Topic 4,Low,Medical case
Shared Services,Employee,Tue,December,Road Incident,Group Working,M/C Idle,Unsafe Act,Dismantling,Behaviour,SANF,Topic 1,Low,First Aid
Engineering & Project,Contractor,Sat,December,Road Incident,Group Working,M/C Working,Unsafe Condition,Working at Height,Behaviour,SANF,Topic 1,High,Medical case
Raw Materials,Employee,Fri,February,Process Incidents,Not Applicable,Not Applicable,Unsafe Condition,Orderliness,Behaviour,SNNR,Topic 8,Low,First Aid
Raw Materials,Employee,Fri,February,Slip/Trip/Fall,Not Applicable,Not Applicable,Unsafe Condition,Orderliness,Behaviour,SNNR,Topic 1,Low,First Aid
Shared Services,Employee,Tue,February,Slip/Trip/Fall,Single Working,M/C Working,Unsafe Act,PPE,Behaviour,SANF,Topic 9,Low,First Aid
Raw Materials,Employee,Mon,February,Slip/Trip/Fall,Group Working,M/C Working,Unsafe Condition,Mines Safety,Behaviour,SANF,Topic 8,Low,First Aid
Raw Materials,Employee,Mon,February,Slip/Trip/Fall,Group Working,M/C Working,Unsafe Condition,Mines Safety,Behaviour,SANF,Topic 8,Low,First Aid
Shared Services,Employee,Thu,February,Slip/Trip/Fall,Single Working,Not Applicable,Unsafe Act by Other,Work Permit System,Behaviour,SNNR,Topic 3,High,Medical case
Raw Materials,Employee,Thu,March,Slip/Trip/Fall,Single Working,Not Applicable,Unsafe Act & Unsafe Condition,Others,Behaviour,SAF,Topic 4,Low,First Aid
Raw Materials,Employee,Thu,March,Slip/Trip/Fall,Group Working,M/C Idle,Unsafe Act,Mines Safety,Behaviour,SAF,Topic 8,Low,First Aid
Raw Materials,Employee,Thu,March,Slip/Trip/Fall,Single Working,Not Applicable,Unsafe Act & Unsafe Condition,Mines Safety,Behaviour,SANF,Topic 1,Low,First Aid
Raw Materials,Employee,Thu,March,Road Incident,Group Working,M/C Idle,Unsafe Act,Mines Safety,Behaviour,SAF,Topic 8,Low,First Aid
Raw Materials,Contractor,Wed,March,Material Handling,Group Working,Not Applicable,Unsafe Act,Mines Safety,Process,SINF,Topic 8,High,Medical case
Raw Materials,Contractor,Wed,March,Slip/Trip/Fall,Group Working,Not Applicable,Unsafe Act,Mines Safety,Process,SINF,Topic 8,High,Medical case
Raw Materials,Employee,Wed,March,Hydraulic/Pneumatic,Single Working,Not Applicable,Unsafe Condition,Confine Space,Behaviour,SNNR,Topic 8,Low,First Aid
Steel Manufacturing,Employee,Wed,March,Slip/Trip/Fall,Single Working,M/C Working,Unsafe Act,Others,Behaviour,SANF,Topic 3,Medium,Medical case
Engineering & Project,Contractor,Fri,March,Dashing/Collision,Group Working,Not Applicable,Unsafe Act by Other,Work Permit System,Behaviour,SIF,Topic 9,Low,First Aid
Engineering & Project,Contractor,Tue,March,Road Incident,Group Working,M/C Idle,Unsafe Act,Dismantling,Behaviour,SINF,Topic 7,Low,First Aid
Raw Materials,Employee,Sat,April,Road Incident,Single Working,Not Applicable,Unsafe Act,Process Safety,Behaviour,SNR,Topic 4,Low,First Aid
Raw Materials,Employee,Sat,April,Slip/Trip/Fall,Single Working,Not Applicable,Unsafe Act,Barricading,Behaviour,SIF,Topic 4,Low,First Aid
Raw Materials,Contractor,Fri,April,Slip/Trip/Fall,Group Working,M/C Working,Unsafe Condition,Others,Behaviour,SANF,Topic 6,Low,First Aid
Raw Materials,Contractor,Fri,April,Slip/Trip/Fall,Group Working,M/C Working,Unsafe Condition,Others,Behaviour,SANF,Topic 6,Low,First Aid
Engineering & Project,Contractor,Wed,April,Slip/Trip/Fall,Single Working,M/C Idle,Unsafe Act & Unsafe Condition,Working at Height,Behaviour,SIF,Topic 1,Low,First Aid
Engineering & Project,Contractor,Thu,April,Slip/Trip/Fall,Group Working,M/C Idle,Unsafe Condition,Work Permit System,Behaviour,SIF,Topic 1,Medium,Medical case
Raw Materials,Employee,Wed,April,Material Handling,Group Working,Not Applicable,Unsafe Act,Fire Safety,Behaviour,SANF,Topic 8,Low,First Aid
Raw Materials,Employee,Wed,April,Material Handling,Group Working,Not Applicable,Unsafe Act,Fire Safety,Behaviour,SANF,Topic 8,Low,First Aid
Corporate Services,Employee,Mon,April,Material Handling,Not Applicable,M/C Idle,Unsafe Act,PPE,Behaviour,SANF,Topic 3,Low,Medical case
Engineering & Project,Contractor,Wed,April,Slip/Trip/Fall,Single Working,Not Applicable,Unsafe Act,PPE,Behaviour,SANF,Topic 7,Medium,Medical case
Corporate Services,Employee,Sat,April,Slip/Trip/Fall,Single Working,M/C Working,Unsafe Condition,Fire Safety,Behaviour,SANF,Topic 1,Low,First Aid
Engineering & Project,Contractor,Tue,May,Slip/Trip/Fall,Group Working,M/C Working,Unsafe Act,Material Handling,Behaviour,SANF,Topic 2,High,Medical case
Engineering & Project,Contractor,Sat,May,Road Incident,Not Applicable,Not Applicable,Unsafe Condition,Others,Behaviour,SIF,Topic 5,Medium,LTI
Engineering & Project,Contractor,Thu,May,Hydraulic/Pneumatic,Group Working,Not Applicable,Unsafe Act,Work Permit System,Behaviour,SINF,Topic 9,High,First Aid
Raw Materials,Employee,Thu,May,Material Handling,Group Working,Not Applicable,Unsafe Act by Other,Excavation,Behaviour,SIF,Topic 7,Low,First Aid
Raw Materials,Employee,Thu,May,Material Handling,Group Working,Not Applicable,Unsafe Act by Other,Barricading,Behaviour,SAF,Topic 6,Low,First Aid
Engineering & Project,Contractor,Wed,May,Road Incident,Not Applicable,M/C Idle,Unsafe Act,PPE,Behaviour,SANF,Topic 9,Low,First Aid
Raw Materials,Contractor,Wed,May,Slip/Trip/Fall,Group Working,Not Applicable,Unsafe Act & Unsafe Condition,Mines Safety,Behaviour,SIF,Topic 8,Medium,First Aid
Raw Materials,Contractor,Wed,May,Slip/Trip/Fall,Group Working,Not Applicable,Unsafe Act & Unsafe Condition,Others,Behaviour,SNR,Topic 2,Medium,First Aid
Raw Materials,Employee,Tue,May,Slip/Trip/Fall,Single Working,M/C Working,Unsafe Act,Electrical Safety,Behaviour,SANF,Topic 1,Low,First Aid
Raw Materials,Employee,Tue,May,Slip/Trip/Fall,Single Working,M/C Working,Unsafe Act,Mines Safety,Behaviour,SANF,Topic 1,Low,First Aid
Corporate Services,Contractor,Mon,May,Slip/Trip/Fall,Single Working,Not Applicable,Unsafe Act,Dismantling,Behaviour,SANF,Topic 5,Low,Medical case
Raw Materials,Employee,Fri,May,Dashing/Collision,Group Working,M/C Working,Unsafe Act,Excavation,Behaviour,SANF,Topic 8,Low,First Aid
Raw Materials,Employee,Fri,May,Slip/Trip/Fall,Group Working,M/C Working,Unsafe Act,Mines Safety,Behaviour,SANF,Topic 8,Low,First Aid
Engineering & Project,Employee,Wed,May,Road Incident,Group Working,M/C Working,Unsafe Act,Working at Height,Behaviour,SANF,Topic 6,Low,First Aid
Engineering & Project,Employee,Wed,May,Process Incidents,Group Working,M/C Working,Unsafe Act,PPE,Behaviour,SANF,Topic 6,Low,First Aid
Steel Manufacturing,Employee,Mon,May,Skidding,Single Working,M/C Working,Unsafe Condition,Material Handling,Behaviour,SANF,Topic 9,Low,Medical case
Shared Services,Employee,Wed,June,Road Incident,Single Working,M/C Idle,Unsafe Act,Material Handling,Behaviour,SANF,Topic 3,Low,First Aid
Raw Materials,Employee,Mon,June,Process Incidents,Group Working,Not Applicable,Unsafe Act,Dismantling,Behaviour,SINF,Topic 8,Low,First Aid
Corporate Services,Contractor,Sun,June,Road Incident,Single Working,M/C Working,Unsafe Act & Unsafe Condition,Others,Behaviour,SNR,Topic 4,Low,First Aid
Steel Manufacturing,Employee,Mon,June,Medical Ailment,Not Applicable,Not Applicable,Unsafe Condition,Barricading,Behaviour,SAF,Topic 9,Low,First Aid
Raw Materials,Employee,Mon,June,Road Incident,Group Working,M/C Working,Unsafe Act & Unsafe Condition,Mines Safety,Behaviour,SNR,Topic 7,High,First Aid
Raw Materials,Employee,Mon,June,Dashing/Collision,Group Working,Not Applicable,Unsafe Act & Unsafe Condition,Mines Safety,Behaviour,SNR,Topic 1,High,First Aid
Shared Services,Employee,Thu,June,Process Incidents,Single Working,Not Applicable,Unsafe Act,Electrical Safety,Behaviour,SANF,Topic 3,Low,First Aid
Raw Materials,Employee,Mon,June,Skidding,Group Working,M/C Working,Unsafe Condition,Fire Safety,Behaviour,SANF,Topic 8,Low,First Aid
Raw Materials,Employee,Mon,June,Lifting Tools Tackles,Group Working,M/C Idle,Unsafe Condition,Fire Safety,Behaviour,SANF,Topic 8,Low,First Aid
Raw Materials,Employee,Mon,June,Road Incident,Group Working,Not Applicable,Unsafe Condition,Others,Behaviour,SAF,Topic 5,Medium,First Aid
Shared Services,Employee,Thu,June,Slip/Trip/Fall,Single Working,M/C Idle,Unsafe Act,PPE,Behaviour,SANF,Topic 3,Low,First Aid
Engineering & Project,Contractor,Wed,June,Slip/Trip/Fall,Group Working,Not Applicable,Unsafe Act by Other,Fire Safety,Behaviour,SANF,Topic 6,Low,First Aid
Raw Materials,Employee,Wed,June,Road Incident,Group Working,M/C Working,Unsafe Condition,Mines Safety,Process,SANF,Topic 8,Low,First Aid
Raw Materials,Employee,Wed,June,Material Handling,Group Working,M/C Idle,Unsafe Act,Excavation,Behaviour,SANF,Topic 7,Low,First Aid
Raw Materials,Employee,Wed,June,Road Incident,Single Working,M/C Idle,Unsafe Act,Dismantling,Behaviour,SANF,Topic 7,Low,First Aid
Raw Materials,Employee,Wed,June,Road Incident,Group Working,M/C Working,Unsafe Condition,Excavation,Process,SANF,Topic 8,Low,First Aid
Raw Materials,Employee,Wed,June,Road Incident,Group Working,M/C Idle,Unsafe Act,Excavation,Behaviour,SANF,Topic 8,Low,First Aid
Raw Materials,Employee,Wed,June,Road Incident,Single Working,M/C Idle,Unsafe Act,Dismantling,Behaviour,SANF,Topic 7,Low,First Aid
Engineering & Project,Contractor,Thu,July,Material Handling,Group Working,Not Applicable,Unsafe Act,Gas Cutting & Welding,Behaviour,SANF,Topic 1,Low,First Aid
Engineering & Project,Contractor,Wed,July,Hydraulic/Pneumatic,Single Working,Not Applicable,Unsafe Act,Gas Cutting & Welding,Behaviour,SIF,Topic 2,Low,First Aid
Raw Materials,Employee,Tue,July,Dashing/Collision,Group Working,M/C Idle,Unsafe Act & Unsafe Condition,"Positive Isolations,Process Safety",Process,SNR,Topic 8,Low,First Aid
Raw Materials,Employee,Tue,July,Slip/Trip/Fall,Group Working,M/C Working,Unsafe Act,Fire Safety,Process,SANF,Topic 8,Low,First Aid
Raw Materials,Employee,Tue,July,Material Handling,Single Working,Not Applicable,Unsafe Condition,Electrical Safety,Behaviour,SANF,Topic 3,Low,First Aid
Raw Materials,Employee,Sat,July,Material Handling,Group Working,M/C Working,Unsafe Condition,Fire Safety,Behaviour,SANF,Topic 8,Low,First Aid
Raw Materials,Contractor,Fri,July,Skidding,Group Working,Not Applicable,Unsafe Act,Material Handling,Behaviour,SINF,Topic 1,Medium,First Aid
Raw Materials,Employee,Fri,July,Material Handling,Group Working,Not Applicable,Unsafe Condition,Barricading,Behaviour,SAF,Topic 7,Low,First Aid
Raw Materials,Employee,Wed,July,Slip/Trip/Fall,Group Working,M/C Working,Unsafe Condition,Dismantling,Behaviour,SANF,Topic 8,Low,First Aid
Raw Materials,Employee,Mon,July,Dashing/Collision,Group Working,M/C Working,Unsafe Act,Dismantling,Behaviour,SINF,Topic 8,Low,Medical case
Raw Materials,Employee,Sun,July,Slip/Trip/Fall,Group Working,Not Applicable,Unsafe Condition,Orderliness,Behaviour,SNNR,Topic 8,Low,Medical case
Raw Materials,Employee,Sat,July,Dashing/Collision,Group Working,Not Applicable,Unsafe Act,Gas Cutting & Welding,Behaviour,SINF,Topic 1,Low,Medical case
Raw Materials,Employee,Fri,July,Process Incidents,Single Working,Not Applicable,Unsafe Condition,Excavation,Behaviour,SIF,Topic 8,Low,First Aid
Raw Materials,Employee,Fri,July,Process Incidents,Group Working,M/C Working,Unsafe Act,Tools & Equipment,Behaviour,SAF,Topic 8,Low,First Aid
Raw Materials,Employee,Fri,July,Slip/Trip/Fall,Single Working,M/C Working,Unsafe Act & Unsafe Condition,Electrical Safety,Behaviour,SNR,Topic 8,Medium,Medical case
Raw Materials,Employee,Wed,July,Structural Integrity,Not Applicable,Not Applicable,Unsafe Condition,Orderliness,Behaviour,SNNR,Topic 8,Low,First Aid
Engineering & Project,Contractor,Mon,July,Road Incident,Group Working,Not Applicable,Unsafe Condition,Road Safety,Behaviour,SNR,Topic 1,Low,First Aid
Engineering & Project,Contractor,Fri,July,Slip/Trip/Fall,Group Working,Not Applicable,Unsafe Condition,Work Permit System,Behaviour,SIF,Topic 9,Medium,LTI
